,dist_meters_to_nearest_mrt,nearest_mrt_code,nearest_mrt_line,dist_meters_to_nearest_mall,nearest_mall_index,dist_meters_to_nearest_commercial_centre,nearest_commercial_centre_index,dist_meters_to_nearest_primary_school,nearest_primary_school_index,dist_meters_to_nearest_secondary_school,nearest_secondary_school_index
0,573.5669280056615,ns14,ns,620.0661516479861,103,3342.136748341526,2,274.5279379207426,99,182.56245274090432,88
1,1728.895027984736,ne13,ne,551.70555963158,113,2388.871679837986,31,122.8195313780328,130,290.3313706146948,15
2,1315.2564309450318,cc8,cc,822.5178039025526,72,2159.421532564735,30,888.5099381298963,147,891.5309348460825,32
3,723.8853301692188,cc20,cc,907.8450805130888,19,1605.9488645092076,28,1086.1518444667238,97,1102.475584695672,100
4,370.02169963329885,ew15,ew,428.96095999455804,51,1864.412455507852,0,464.74420090012774,20,1542.6488541371082,89
5,1330.4479014903318,dt5,dt,1395.951388849762,125,2227.9522552561684,9,385.60652617542684,16,1480.025961399241,20
6,400.6081697155959,ne8,ne,414.0090620880431,30,1422.6624320899634,29,246.628133096285,50,1279.7497197982825,109
7,726.3574533891074,dt6,dt,789.4805725769522,127,4013.8951327002114,28,1032.9593244128403,112,2363.356029772539,79
8,502.42557277456865,dt10,dt,1070.0131710609646,36,2032.362953219542,29,1104.1850099452763,6,751.964955368894,114
9,742.2298115144827,cc21,cc,840.9736569084381,19,1483.8785078493336,28,1222.1135400365936,100,883.2528985726543,100
10,570.617417231136,ew4,ew,1794.5584847373261,68,2638.9482940551984,7,528.3649148089715,152,341.7329145050858,12
11,658.9949411986344,dt28,dt,1742.1470525192149,81,1861.7658020350675,30,473.77345282997294,87,501.2047868674417,70
12,1330.4479014903318,dt5,dt,1395.951388849762,125,2227.9522552561684,9,385.60652617542684,16,1480.025961399241,20
13,178.4035776976268,te7,te,1085.3974193219794,57,2369.081394622291,26,1005.8510022121569,8,336.746183076012,95
14,935.4159473160129,cc7,cc,1312.5693430341992,75,2108.656996290626,30,1258.3288850981328,80,656.897219038514,41
15,483.88370713494567,ns4,ns,499.57949863506116,135,3953.193950901259,22,408.4916626895409,34,365.21597111758047,19
16,542.3898068192497,ns19,ns,279.6201332717357,62,591.6040684191531,32,336.0275311940839,9,473.7003248146452,26
17,236.48667753681497,ne8,ne,189.70656670403793,11,1691.8026216570563,29,651.5377060287409,50,1339.3883799092393,13
18,411.65435689047837,ew15,ew,388.9082344903528,51,1189.8761934752993,0,1065.4525811239123,20,1678.88310271802,89
19,431.2087686720097,ns16,ns,184.47817141315684,95,2538.459317115163,26,334.6289225192951,73,350.8383446714546,2
20,904.0641497394813,ew22,ew,872.1365898495775,163,838.5847129538736,35,1394.6132963833745,49,556.3720353946683,82
21,1695.9052811393276,dt33,dt,442.700436680035,87,2253.5469802455827,13,717.4355022775696,162,1084.0651101977542,43
22,178.45366219077977,ew19,ew,634.1447861470178,155,763.7263440864255,25,416.90444266111325,124,958.0593337838012,100
23,839.0915934284437,ns20,ns,835.9411892716965,3,803.914905025854,29,391.95462377568003,6,252.16122960096237,4
24,40.943455619084055,dt28,dt,2337.8580891481965,81,2460.1494487410787,30,524.3331013488827,151,1076.7407332561845,70
25,251.35037499660112,cc2,cc,212.68580903938638,7,157.23220719652073,37,343.73951785389386,22,562.7237591752963,109
26,969.396354856356,cc8,cc,1000.8302091319861,72,1941.5959190064232,30,997.606994759252,147,567.502842005532,32
27,180.22170722785722,dt33,dt,910.3943267354872,82,926.9934947004801,3,485.81789181094774,59,400.3942425091371,83
28,654.2704619648994,dt11,dt,284.8682375223142,54,1678.327977295549,29,1339.7577989487195,6,1446.7958065983892,4
29,411.65435689047837,ew15,ew,388.9082344903528,51,1189.8761934752993,0,1065.4525811239123,20,1678.88310271802,89
30,477.456426982602,ne8,ne,583.465854098435,11,1622.479632214283,29,603.868441467786,67,949.4096790185761,13
31,402.99386101636594,dt11,dt,528.8734785267204,58,808.6459323834814,29,683.5709780937647,143,971.7802773620014,4
32,1213.4900708629086,ew6,ew,834.8548073842547,63,3372.3398465324867,30,0.0,107,924.3714535089047,96
33,977.1979653557775,cc20,cc,1550.8214263516422,19,2128.1544366305648,28,1337.4975973707265,97,1079.8525232121997,100
34,977.1979653557775,cc20,cc,1550.8214263516422,19,2128.1544366305648,28,1337.4975973707265,97,1079.8525232121997,100
35,1248.1379167309067,ns13,ns,774.6421695941757,103,2931.708276640411,2,304.6745162649267,70,323.65819362679923,85
36,138.95388054704273,cc1,cc,200.5858792417178,39,603.2975498644965,37,657.5831708054098,22,238.94041451431107,109
37,261.6725943696553,cc12,cc,985.8746550442161,110,1044.9208544491219,31,341.0564189622366,88,343.61535552351614,71
38,753.4804433488056,ns23,ns,76.27585323534039,61,2085.5522180428443,37,1637.9242308177663,3,1774.8100320859853,50
39,287.82817278971567,cc21,cc,181.9047167573677,19,709.7185540390612,28,1232.2088666396899,66,1321.35282608043,100
40,1487.2142483088573,dt1,dt,412.72730519073076,128,3892.3949448078265,22,366.1133507112907,10,528.6087908080447,53
41,586.1269668636489,cc13,cc,593.3207388724696,110,507.0011569499919,31,496.5618933006362,179,361.4672703666619,94
42,773.4440412294922,dt33,dt,1423.6660268592534,87,1470.7090910560582,36,190.3407678279297,44,273.7910912909054,43
43,540.7704628710092,dt1,dt,526.1075554637305,132,4390.845584845954,22,663.9045041065281,137,750.2005306305954,47
44,511.47335680514874,cc16,cc,1355.8293326707835,57,1370.2826905738614,26,467.85387567965915,90,645.2952129572832,101
45,509.0760366235524,cc20,cc,1027.768949833923,19,1767.4923107609104,28,820.6401380844154,97,926.1490382665334,120
46,529.6877416208914,dt30,dt,1362.7075680560004,68,2117.905983431803,3,410.0638408563926,127,238.14748923148844,10
47,491.61533456440264,ns12,ns,188.8031422995453,100,3614.488387885942,19,781.2609260454032,133,661.2531790995288,1
48,687.3781189033001,ns11,ns,603.7642186794988,101,2112.9894627270914,19,441.91554145919696,18,320.6606104517673,110
49,97.25484627372023,ne8,ne,221.20302483622234,11,1566.1481700895217,29,512.9977757106082,50,1381.4751347780425,13
50,2286.669503467199,ne15,ne,404.26916468478595,112,1428.4873166231582,18,349.34212963954656,52,713.0538252543332,93
51,310.9708694451633,ew9,ew,1153.2395212313183,85,1260.6144458829453,30,544.9721444794229,58,554.0290318956633,51
52,838.5472452108185,ew3,ew,646.6984768087004,83,638.8120234060027,3,126.88244193339047,33,549.2084476225133,91
53,742.2298115144827,cc21,cc,840.9736569084381,19,1483.8785078493336,28,1222.1135400365936,100,883.2528985726543,100
54,1253.713752970859,dt30,dt,351.29020798774616,68,3387.1355312929827,3,539.6572177090478,51,735.6817392014948,128
55,542.9493450799641,ew16,ew,863.5680326078693,51,2189.3453478498727,0,185.64199718399092,20,1177.0856936746673,89
